customer_in_new_file,unique_customer_id,customer_name__c,check_out_customer__c,grade_family__c,grade_name__c,avg_net_weight,daily_loads,current_inventory,productusage,product_delivery_location__c_id
1,001d000000IRIHPAA5,Oklahoma State University,11/26/2018 19:20,Sweet Bran,SB60,50235.17647,1,30.94466849,3.295622699,a0fd000000Ey0TrAAJ
1,001d000000ISiMgAAL,Morgan Feedlot LLC,12/17/2018 20:29,Sweet Bran,SB60,61205.09284,1,43.99133542,9.983531553,a0fd000000G6EChAAN
1,001d000000ISiPOAA1,Wilbur Pudenz Inc.,12/16/2018 20:29,SB Plus,V5095,60172.25352,1,52.13496721,10.32842044,a0f0V00000PQRtwQAH
1,001d000000ISibvAAD,Dean Pudenz-James Pudenz Acct,12/18/2018 14:34,SB Plus,V5102,59576.36364,1,49.76539636,4.857585629, 
1,001d000000JTa0EAAT,J7 Dairy LLC - KS,12/19/2018 19:24,OneTrak,T7155,49650.86957,4,84.96953347,104.4061346,a0f0V00000QmLUeQAN
1,001d000000JTa0HAAT,Quien Sabe Feeders,12/19/2018 6:34,RAMP,R3000,54745.65371,2,89.89913189,97.91001662,a0fd000000P3O4KAAV
1,001d000000JTa0HAAT,Quien Sabe Feeders,12/19/2018 15:22,SB Plus,V0450,54123.12762,5,218.3674088,129.2394358,a0fd000000OPeDkAAL
1,001d000000JTa1eAAD,Hartley Feeders,12/19/2018 0:01,RAMP,R3000,54746.0282,1,168.162971,54.3575335,a0fd000000Ey0TEAAZ
1,001d000000JTa1eAAD,Hartley Feeders,12/19/2018 8:15,SB Plus,V0500,54274.29487,7,298.218709,145.7713962,a0f0V00000PQ4JkQAL
1,001d000000JTa3KAAT,"Tejas Feeders, Ltd.",12/18/2018 0:32,RAMP,R3000,54591.29204,1,62.58622314,10.94957433,a0fd000000LcvdmAAB
1,001d000000JTa3KAAT,"Tejas Feeders, Ltd.",12/19/2018 18:39,SB Plus,V0450,54636.7425,3,401.3335582,109.7679247,a0fd000000MWIsfAAH
